created_at,sentiment_score.x,sentiment_score.y,sentiment_score
2020-03-17,0.20454545454545453,0.6666666666666666,1
2020-03-19,0.8333333333333334,0.7733333333333333,0
2020-03-30,1,0.6888888888888889,-1
2020-04-02,-0.33333333333333337,0.22,-1
2020-04-03,-0.16666666666666666,0.30666666666666664,1
2020-04-06,-1,-0.3125,0.3333333333333333
2020-04-07,0.6,0.44857142857142857,1
2020-04-08,0.5833333333333334,0.5333333333333333,-1
2020-04-15,-1,0.3416666666666667,0.3333333333333333
2020-04-25,-0.15,0.5,0.2
2020-05-01,-0.16666666666666666,0.45,0.35714285714285715
2020-05-07,-0.125,0.8571428571428572,1
2020-05-08,-0.05,0.32275132275132273,0.75
2020-05-10,0,0.23809523809523808,0
2020-05-13,0.22666666666666666,0.20634920634920634,1
2020-07-09,0.7037037037037037,0.8,1
2020-07-16,-0.1111111111111111,-0.3333333333333333,0.75
2020-07-23,1.8521787113294035e-17,-0.09523809523809523,1
2020-10-05,0.6666666666666666,0.5892857142857143,1
2020-10-14,0.5222222222222223,-0.3492063492063492,1
2020-10-15,0.4571428571428572,-0.13333333333333333,1
2020-10-16,0.675,0.7619047619047619,-0.02380952380952381
2020-10-17,-1,-0.26666666666666666,-1
2020-10-19,0.6666666666666666,-0.23333333333333334,1
2020-10-21,0.19444444444444445,0.5416666666666666,-0.325
2020-10-30,0.5238095238095238,0.14714285714285713,1
2020-11-04,0.25,0.4967032967032967,-1
2020-11-05,0.4107142857142857,0.8,0.3333333333333333
2020-11-20,0.5,0.2857142857142857,0.5
2020-12-25,0.5,0.004761904761904761,1
2021-02-17,0.5222222222222223,0.04370015948963318,1
2021-02-22,0.8888888888888888,0.6808080808080808,1
2021-03-03,-1,0.7083333333333334,1
2021-03-04,0,0.4085714285714286,-1
2021-03-11,-1,0.3223809523809524,1
2021-03-19,0.3333333333333333,0.9238095238095239,1
2021-04-01,1,0.5395833333333333,1
2021-04-09,1,0.382051282051282,0
2021-05-04,-0.4,0.4703703703703704,0.5
2021-06-11,1,-0.050793650793650794,1
2021-06-22,0.17857142857142858,0.49777777777777776,1
2021-06-25,0.36666666666666664,-0.011904761904761902,1
2021-08-05,0,0.4383303938859494,0.6666666666666666
2021-08-25,0.525,0.3628571428571429,1
2021-08-27,0.4,0.16666666666666666,-1
2021-09-15,-0.16666666666666666,0.5313932980599647,1
2021-09-16,0.055555555555555546,0.25462962962962965,1
2021-09-22,0.5,0.32593445980542757,1
2021-09-24,-1,0.3577662337662338,0.3333333333333333
2021-09-27,1,0.6009740259740259,1
2021-10-07,-0.5,0.40793650793650793,1
2021-10-13,-0.061224489795918366,0.20046082949308755,1
2021-10-15,0.42857142857142855,0.07660714285714286,0.3333333333333333
2021-10-20,0.4,0.38843537414965984,0
2021-10-26,0.625,0.23697478991596638,1
2021-10-27,0.75,0.2604529616724739,1
2021-10-29,0.08333333333333333,0.04876543209876543,-1
2021-11-01,0.625,0.18061224489795918,-1
2021-11-03,0.4166666666666667,0.1867243867243867,-1
2021-11-13,0.8333333333333334,0.2153258778258778,0.3333333333333333
2021-11-18,-0.7777777777777778,0.268442932728647,0
2021-11-19,0.6333333333333333,0.22260015117157975,0.8
